,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
VWF,1.06364746769499e-259,0.318966411231187,0.956,0.803,1.52154770253768e-255,capillary,VWF
RPL37,5.12676571733019e-259,-0.256612814074093,0.982,0.991,7.33383835864083e-255,capillary,RPL37
CST3,3.89058657128794e-257,-0.297587432772882,0.959,0.972,5.5654840902274e-253,capillary,CST3
RAB31,3.57994606048745e-256,0.719228706761247,0.497,0.213,5.1211128395273e-252,capillary,RAB31
IL1R1,8.77172665659861e-254,-0.91594737308754,0.109,0.335,1.25479549822643e-249,capillary,IL1R1
F2RL3,4.98854112480131e-252,0.740563863817492,0.436,0.164,7.13610807902827e-248,capillary,F2RL3
ZFP36,2.11360632172083e-251,-0.359619289284389,0.928,0.962,3.02351384322165e-247,capillary,ZFP36
ITIH5,2.20036610986149e-251,0.806077871416904,0.379,0.13,3.14762372015686e-247,capillary,ITIH5
TM4SF1,3.16376092601458e-250,-0.2811656770957,0.956,0.957,4.52576000466386e-246,capillary,TM4SF1
CTSC,2.19341238880184e-245,-0.691217358391446,0.398,0.551,3.13767642218104e-241,capillary,CTSC
PODXL,6.66202039806081e-244,0.532083493991399,0.769,0.496,9.53002017942599e-240,capillary,PODXL
THY1,5.4410108929933e-243,0.810652681027882,0.356,0.114,7.78336608242692e-239,capillary,THY1
RHOB,1.7545551603382e-241,0.344025118278511,0.917,0.738,2.50989115686379e-237,capillary,RHOB
P2RY6,2.89976467875097e-238,0.762787146761572,0.346,0.111,4.14811337295326e-234,capillary,P2RY6
PLXND1,1.97425968165596e-237,0.543666340678428,0.783,0.534,2.82417847460885e-233,capillary,PLXND1
NRP1,3.86988942249438e-235,0.452147808138991,0.803,0.535,5.53587681887822e-231,capillary,NRP1
RASGRP3,3.98272462618907e-235,0.650420562986674,0.539,0.265,5.69728757776347e-231,capillary,RASGRP3
ADM5,5.7385913108542e-235,-0.934861582551196,0.128,0.329,8.20905487017693e-231,capillary,ADM5
PERP,1.4330853349068e-233,-0.863983362515864,0.174,0.406,2.05002857158418e-229,capillary,PERP
PXDN,6.54275092402379e-233,0.667657856631716,0.64,0.382,9.35940519681603e-229,capillary,PXDN
JAM2,8.10727582944490e-233,-0.457460306957158,0.598,0.68,1.15974580740209e-228,capillary,JAM2
CCND1,1.18433337936384e-230,0.702568022631571,0.514,0.243,1.69418889917998e-226,capillary,CCND1
PLSCR1,2.2765381082671e-230,-0.477472576313117,0.64,0.75,3.25658776387609e-226,capillary,PLSCR1
RGS3,1.09717815227339e-229,0.662785585023411,0.623,0.346,1.56951334682709e-225,capillary,RGS3
SEMA3F,1.83973300965431e-229,0.706057711440522,0.412,0.158,2.63173807031049e-225,capillary,SEMA3F
CNN3,2.47558627336961e-229,-0.350396049218048,0.787,0.821,3.54132616405522e-225,capillary,CNN3
SERPINB1,6.52232512850691e-229,-0.561348820535287,0.438,0.546,9.33018609632913e-225,capillary,SERPINB1
FAM107A,6.92363476425224e-228,-0.848209595192952,0.153,0.37,9.90425953026283e-224,capillary,FAM107A
LEPR,1.43274092478412e-226,-0.843931339020234,0.118,0.337,2.04953589290369e-222,capillary,LEPR
RPSA,2.99318724165909e-226,-0.275645521801427,0.926,0.952,4.28175434919332e-222,capillary,RPSA
CALD1,1.79641774405752e-223,0.433246624155373,0.883,0.667,2.56977558287428e-219,capillary,CALD1
ADGRF5,5.07170450456752e-222,0.543015731321876,0.692,0.42,7.25507329378384e-218,capillary,ADGRF5
ARL6IP1,9.10479183804556e-221,-0.4236104959561,0.661,0.722,1.30244047243242e-216,capillary,ARL6IP1
COL18A1,3.23450380642513e-219,0.513415101694224,0.805,0.569,4.62695769509115e-215,capillary,COL18A1
ZNF385D,8.43599154090106e-219,-0.614730066400362,0.422,0.566,1.2067685899259e-214,capillary,ZNF385D
GRB10,1.33364302461931e-218,0.621396831435883,0.559,0.292,1.90777634671792e-214,capillary,GRB10
MSN,6.96831202004954e-218,0.295073656021895,0.934,0.808,9.96817034468086e-214,capillary,MSN
IVNS1ABP,8.92182165028089e-218,0.66034300452637,0.652,0.401,1.27626658707268e-213,capillary,IVNS1ABP
PCDH12,9.24302490799635e-218,0.681500930240549,0.362,0.129,1.32221471308888e-213,capillary,PCDH12
EEF1G,1.57463883765684e-216,-0.28769288720281,0.873,0.905,2.25252085726812e-212,capillary,EEF1G
TUBB4B,1.54189317115947e-213,-0.463435347097586,0.649,0.748,2.20567818134362e-209,capillary,TUBB4B
KLF4,2.88718803460293e-213,-0.623048747363045,0.581,0.749,4.13012248349949e-209,capillary,KLF4
NOTCH4,5.42418251949549e-213,0.615038382572457,0.536,0.263,7.7592930941383e-209,capillary,NOTCH4
MMP14,1.0509830544495e-211,0.654202724192224,0.536,0.278,1.50343125939001e-207,capillary,MMP14
ATP1A1,3.43408239802221e-211,-0.427419913885423,0.716,0.793,4.91245487037077e-207,capillary,ATP1A1
CSF3,1.98598399339689e-208,-1.16297683677442,0.11,0.293,2.84095010255426e-204,capillary,CSF3
EXOC3L2,9.08860189193111e-207,0.658408534761122,0.336,0.112,1.30012450064075e-202,capillary,EXOC3L2
NID1,6.40808290321287e-205,0.645289805796386,0.539,0.281,9.16676259304602e-201,capillary,NID1
NRP2,2.18447460548021e-204,0.547324564540544,0.644,0.379,3.12489092313943e-200,capillary,NRP2
KDR,6.19897394526804e-204,0.560044677271548,0.638,0.378,8.86763222870593e-200,capillary,KDR
ESAM,9.49178889997389e-203,0.26795560622346,0.933,0.776,1.35780040214126e-198,capillary,ESAM
PDGFB,9.90345541968206e-202,0.692291404455236,0.364,0.137,1.41668929778552e-197,capillary,PDGFB
EHD4,1.41533600720451e-201,0.45847065507858,0.766,0.53,2.02463815830606e-197,capillary,EHD4
CCL23,1.15393423792294e-200,-0.899826013285609,0.04,0.203,1.65070292734876e-196,capillary,CCL23
TUBB,1.32366791925222e-200,-0.347993974663783,0.807,0.862,1.8935069584903e-196,capillary,TUBB
ENTPD1,4.72252857107485e-200,0.457970552993359,0.758,0.5,6.75557712092257e-196,capillary,ENTPD1
TGFBR3,1.9889298388542e-199,-0.760336241955877,0.232,0.442,2.84516413448093e-195,capillary,TGFBR3
OLFM1,3.14116598994885e-199,-0.72618246391088,0.222,0.381,4.49343794862183e-195,capillary,OLFM1
SLC9A3R2,3.94020776347352e-199,0.362597014093948,0.721,0.476,5.63646720564887e-195,capillary,SLC9A3R2
MCTP1,4.86414877858693e-198,-0.474907960271612,0.608,0.682,6.9581648277686e-194,capillary,MCTP1
EVA1C,4.97814667916649e-198,-0.685831746817245,0.299,0.507,7.12123882454766e-194,capillary,EVA1C
DUSP1,5.99085942975422e-198,-0.329968576579228,0.925,0.955,8.56992441426342e-194,capillary,DUSP1
LPCAT4,3.45788721274476e-197,-0.710657103250546,0.218,0.397,4.94650765783137e-193,capillary,LPCAT4
CCL21,3.72424726092971e-197,-1.52323201361134,0.014,0.122,5.32753570675996e-193,capillary,CCL21
EPHX1,4.16179774653532e-196,-0.664285178664133,0.305,0.492,5.95345167641878e-192,capillary,EPHX1
ROBO4,4.70318322049271e-196,0.52686678919218,0.692,0.455,6.72790359691482e-192,capillary,ROBO4
SOCS2,3.67180800526803e-195,-0.650260605729437,0.287,0.449,5.25252135153592e-191,capillary,SOCS2
FLT1,4.98661889921324e-195,0.521733591174805,0.802,0.574,7.13335833532454e-191,capillary,FLT1
ADRB2,1.26914464710228e-194,-0.793106033626417,0.045,0.213,1.81551141767981e-190,capillary,ADRB2
IGFBP3,1.44186430036348e-194,0.780977246738506,0.434,0.19,2.06258688166996e-190,capillary,IGFBP3
NFKBIA,3.17036951334953e-194,-0.325083004835664,0.926,0.955,4.5352135888465e-190,capillary,NFKBIA
EIF3E,9.52913521483448e-193,-0.35560545602152,0.734,0.791,1.36314279248207e-188,capillary,EIF3E
LMCD1,2.03588222727389e-192,-0.532135722211858,0.57,0.703,2.9123295261153e-188,capillary,LMCD1
EIF4EBP1,3.06420076892851e-192,0.633988974794627,0.457,0.224,4.38333919995223e-188,capillary,EIF4EBP1
FABP5,5.20700024382189e-192,-0.635328717014617,0.508,0.636,7.44861384878722e-188,capillary,FABP5
ADAMTS7,9.66385355976523e-192,0.59712916313664,0.239,0.061,1.38241425172442e-187,capillary,ADAMTS7
TOMM7,1.06035788854969e-190,-0.364591123927459,0.731,0.788,1.51684195957034e-186,capillary,TOMM7
C1QTNF1,1.49796918885693e-190,-0.65195614521358,0.028,0.186,2.14284492465983e-186,capillary,C1QTNF1
EFEMP1,6.29704456971434e-190,-1.02656691339449,0.021,0.163,9.00792225697637e-186,capillary,EFEMP1
MAT2A,6.39817190033594e-190,-0.661401079666869,0.341,0.505,9.15258490343055e-186,capillary,MAT2A
PLAC9,7.40106680511982e-190,-0.805280720839728,0.052,0.225,1.05872260647239e-185,capillary,PLAC9
CSTB,8.46160331783543e-190,0.371745370616546,0.876,0.712,1.21043235461636e-185,capillary,CSTB
ARID5B,1.81801128339247e-189,-0.500354393216004,0.54,0.652,2.60066514089294e-185,capillary,ARID5B
S100A3,2.01577037295778e-189,0.652845529347785,0.272,0.082,2.8835595185161e-185,capillary,S100A3
CXCL2,6.75737948002855e-189,-0.821488184325273,0.367,0.547,9.66643134618084e-185,capillary,CXCL2
SULF1,1.21313667804223e-187,-0.81929081533059,0.021,0.165,1.73539201793941e-183,capillary,SULF1
BCAM,2.48808432684537e-187,-0.276283790210112,0.85,0.847,3.55920462955231e-183,capillary,BCAM
DOCK6,7.74932507893596e-187,0.584123948759354,0.529,0.279,1.10854095254179e-182,capillary,DOCK6
CIRBP,1.29023254998192e-185,-0.358425207766045,0.754,0.815,1.84567766274914e-181,capillary,CIRBP
TACR1,2.54184175930736e-185,-0.69546208150592,0.032,0.189,3.63610463668918e-181,capillary,TACR1
QPCT,3.05445234934268e-185,0.574596247529227,0.282,0.088,4.3693940857347e-181,capillary,QPCT
ELN,5.19061818755523e-185,-0.742787440129922,0.07,0.256,7.42517931729775e-181,capillary,ELN
DDI2,9.98502614556622e-185,0.578531701186048,0.316,0.114,1.42835799012325e-180,capillary,DDI2
MYO10,1.26146300303108e-184,0.586735946556425,0.477,0.232,1.80452282583596e-180,capillary,MYO10
COTL1,4.82751829079441e-184,0.514018800442139,0.739,0.504,6.9057649149814e-180,capillary,COTL1
LRRFIP1,4.39172363284055e-183,-0.370634061131353,0.741,0.801,6.2823606567784e-179,capillary,LRRFIP1
GNAI2,2.20216057286185e-182,0.28888490656708,0.901,0.753,3.15019069947888e-178,capillary,GNAI2
TMEM176A,2.63459131413621e-182,-0.828869655130088,0.025,0.168,3.76878287487185e-178,capillary,TMEM176A
ACVRL1,2.86127407032318e-182,0.458360752919125,0.716,0.485,4.09305255759731e-178,capillary,ACVRL1
MT1X,2.94896316870675e-181,-0.939130753853946,0.14,0.288,4.21849181283501e-177,capillary,MT1X
CDK2AP1,2.79185743892738e-179,0.568478624221824,0.425,0.195,3.99375206638562e-175,capillary,CDK2AP1
PLXNA2,2.91739875197204e-179,0.609408451729428,0.498,0.257,4.173338914696e-175,capillary,PLXNA2
TUBA1B,5.32433953256402e-179,-0.297246071397993,0.875,0.898,7.61646770133283e-175,capillary,TUBA1B
FABP4,2.07449746022486e-178,-1.02917180015622,0.036,0.183,2.96756861685166e-174,capillary,FABP4
PHLDB1,1.18818813335044e-177,0.595563975569584,0.414,0.186,1.69970312475781e-173,capillary,PHLDB1
TMEM204,1.45278515736997e-177,0.514221838055749,0.614,0.371,2.07820916761775e-173,capillary,TMEM204
EXOC3L1,8.61042292717945e-177,0.57165569602948,0.307,0.111,1.23172099973302e-172,capillary,EXOC3L1
LRRC1,9.58778972643343e-176,-0.689590991658373,0.083,0.272,1.3715333203663e-171,capillary,LRRC1
AQP1,3.31589400114672e-175,-0.336355062821703,0.788,0.838,4.74338636864038e-171,capillary,AQP1
AKR1C3,8.66671159185984e-175,-0.664223555245274,0.236,0.418,1.23977309321555e-170,capillary,AKR1C3
TTYH3,1.38744735600909e-174,0.577723184873957,0.408,0.188,1.984743442771e-170,capillary,TTYH3
TSPAN15,6.52337462516052e-174,0.609435967074426,0.448,0.223,9.33168740129212e-170,capillary,TSPAN15
STC2,1.11370098740168e-173,0.579197959135422,0.358,0.147,1.5931492624781e-169,capillary,STC2
TP53I11,3.34143166895359e-173,0.694390162705395,0.338,0.142,4.7799180024381e-169,capillary,TP53I11
STOM,5.59615033660432e-172,-0.254244294257993,0.869,0.871,8.00529305651248e-168,capillary,STOM
RBP7,6.3948505975707e-172,-0.738280744228167,0.081,0.269,9.14783377982488e-168,capillary,RBP7
F2R,9.75759015071417e-172,0.535721756449167,0.594,0.36,1.39582327105966e-167,capillary,F2R
PCBD1,9.94494814127556e-172,-0.65864399651706,0.136,0.31,1.42262483160947e-167,capillary,PCBD1
LAMC1,1.4970444832895e-171,0.499022696183031,0.677,0.452,2.14152213334563e-167,capillary,LAMC1
RCAN1,7.93698922725791e-171,-0.44596813116163,0.621,0.671,1.13538630895924e-166,capillary,RCAN1
KCNQ1,2.13086150709572e-170,0.46370909972441,0.144,0.019,3.04819738590042e-166,capillary,KCNQ1
SEMA6A,3.02544756740176e-170,-0.697228710578518,0.157,0.349,4.32790274516822e-166,capillary,SEMA6A
FHOD1,3.43795370898896e-170,0.568651431350879,0.311,0.115,4.9179927807087e-166,capillary,FHOD1
SYNPO,2.14722887760273e-169,0.477905520126671,0.637,0.398,3.07161090941071e-165,capillary,SYNPO
SVIL,5.22937118160735e-169,0.52330202758041,0.547,0.309,7.48061547528931e-165,capillary,SVIL
TMEM176B,1.16844970684171e-167,-0.760131611285313,0.029,0.169,1.67146730563706e-163,capillary,TMEM176B
OAF,2.05126124511068e-167,0.534811816401418,0.48,0.251,2.93432921113083e-163,capillary,OAF
CPE,2.0688340576403e-167,-0.937461924561761,0.049,0.182,2.95946711945445e-163,capillary,CPE
ITGA8,2.72240306064156e-167,0.580535461520009,0.241,0.07,3.89439757824775e-163,capillary,ITGA8
TMEM70,2.42440662869478e-166,-0.546584577029257,0.315,0.433,3.46811368234788e-162,capillary,TMEM70
CCL2,9.84263559898848e-166,-0.87576027998141,0.308,0.503,1.4079890224353e-161,capillary,CCL2
NUPR1,1.11064878851374e-163,-0.61634561311188,0.022,0.158,1.58878309196891e-159,capillary,NUPR1
COMMD6,1.4583931612242e-163,-0.288936488802228,0.753,0.781,2.08623141713121e-159,capillary,COMMD6
NDST1,5.43400865692653e-163,0.525235019415345,0.491,0.263,7.77334938373341e-159,capillary,NDST1
ASS1,2.74474521779228e-162,-0.752595456045982,0.2,0.389,3.92635803405185e-158,capillary,ASS1
SOX18,3.44108827078035e-162,0.37133888829182,0.602,0.381,4.92247677135129e-158,capillary,SOX18
STARD4,5.21654375799045e-162,0.585888286948941,0.357,0.151,7.46226584580533e-158,capillary,STARD4
TPD52L1,1.64971467363869e-161,-0.667080997067821,0.183,0.35,2.35991684064015e-157,capillary,TPD52L1
ALPK3,6.90120045240519e-161,0.553896934794064,0.257,0.083,9.87216724716562e-157,capillary,ALPK3
TFF3,1.4170431630147e-160,-0.995072259440798,0.011,0.117,2.02708024469253e-156,capillary,TFF3
APLP2,3.85018030144119e-160,0.38634417868609,0.845,0.67,5.50768292121162e-156,capillary,APLP2
THBS1,9.77544591310232e-160,0.597613946929651,0.615,0.386,1.39837753786929e-155,capillary,THBS1
RCAN2,1.22233745759714e-159,0.469989121895737,0.245,0.08,1.7485537330927e-155,capillary,RCAN2
CDA,2.13233916973934e-159,0.576891732271206,0.398,0.185,3.05031118231212e-155,capillary,CDA
IFI16,4.2772628450116e-159,-0.381052439090821,0.68,0.751,6.11862449978909e-155,capillary,IFI16
PTPRK,4.90396145753061e-159,0.47438794035976,0.663,0.433,7.01511686499754e-155,capillary,PTPRK
PRDM1,5.26134056662818e-159,0.537610589192342,0.415,0.196,7.52634768056161e-155,capillary,PRDM1
CRIP1,7.12655194921333e-159,0.485207944589936,0.677,0.441,1.01945325633497e-154,capillary,CRIP1
FMNL3,1.95560277289012e-158,0.539959603911276,0.417,0.2,2.79748976661931e-154,capillary,FMNL3
CHD3,4.14919948151598e-158,0.52801293741958,0.391,0.181,5.93542985830861e-154,capillary,CHD3
COL12A1,2.52079941245542e-157,0.578857477191133,0.181,0.039,3.60600355951748e-153,capillary,COL12A1
RSPO3,7.176408979068e-157,-0.547708885277926,0.009,0.122,1.02658530445568e-152,capillary,RSPO3
RND1,1.45832938950704e-156,-0.43170437142016,0.532,0.582,2.08614019168982e-152,capillary,RND1
ACOT7,1.31762513548188e-155,0.545936330777703,0.377,0.169,1.88486275630682e-151,capillary,ACOT7
PDK4,1.9831598042261e-155,-0.784788786254279,0.158,0.334,2.83691009994544e-151,capillary,PDK4
LRG1,2.00726317667571e-155,-0.702238529229984,0.029,0.16,2.87138997423461e-151,capillary,LRG1
ITGA5,3.5269345942851e-155,0.381686714809917,0.819,0.633,5.04527993712484e-151,capillary,ITGA5
ADGRL2,3.86671043268875e-155,0.460551731070805,0.455,0.237,5.53132927396126e-151,capillary,ADGRL2
NAMPT,4.38972456030159e-155,-0.375245256956834,0.626,0.69,6.27950098351142e-151,capillary,NAMPT
PLPP3,8.56568849726818e-154,0.468201177492171,0.736,0.525,1.22532173953421e-149,capillary,PLPP3
S1PR1,1.84683222659549e-153,-0.329619040815128,0.684,0.729,2.64189350014485e-149,capillary,S1PR1
FLNA,3.51052035005185e-153,0.420701995343976,0.762,0.559,5.02179936074918e-149,capillary,FLNA
STMN1,1.02531931541467e-152,-0.251011892970054,0.588,0.562,1.46671928070068e-148,capillary,STMN1
